1.1355,1.1349,1.1396,1.1325,0.04
1.1351,1.1356,1.1372,1.1345,-0.14
1.1367,1.115,1.1377,1.1134,1.94
1.1151,1.1187,1.1221,1.114,-0.33
1.1188,1.113,1.1198,1.1111,0.5
1.1132,1.1135,1.1176,1.112,-0.13
1.1146,1.1114,1.1148,1.1096,0.34
1.1108,1.1114,1.1115,1.1107,-0.06
1.1115,1.1192,1.1201,1.1106,-0.71
1.1194,1.1152,1.1218,1.1142,0.35
1.1155,1.1139,1.1169,1.1126,0.13
1.1141,1.1218,1.1228,1.1129,-0.7
1.1219,1.1215,1.1246,1.1184,-0.02
1.1221,1.1212,1.1223,1.1212,-0.03
1.1224,1.1202,1.1239,1.1192,0.19
1.1203,1.1215,1.123,1.1178,-0.12
1.1217,1.1311,1.1327,1.121,-0.86
1.1314,1.1318,1.135,1.13,-0.05
1.132,1.1307,1.1345,1.1299,0.02
1.1318,1.1313,1.1319,1.1303,0.09
1.1308,1.1375,1.1383,1.1281,-0.61
1.1377,1.1424,1.1434,1.1366,-0.44
1.1427,1.1371,1.1448,1.1366,0.48
1.1372,1.1381,1.1413,1.1357,-0.1
1.1383,1.1399,1.1422,1.1373,-0.02
1.1385,1.1397,1.1401,1.1384,-0.18
1.1405,1.1405,1.1479,1.1384,0.0
1.1405,1.1485,1.1496,1.1384,-0.71
1.1487,1.1494,1.153,1.1465,-0.09
1.1497,1.1531,1.1616,1.1493,-0.3
1.1532,1.1444,1.1539,1.1443,0.61
1.1462,1.1461,1.1466,1.1453,0.05
1.1456,1.1352,1.1461,1.1333,0.91
1.1353,1.1318,1.137,1.1294,0.28
1.1321,1.1295,1.1363,1.1271,0.19
1.1299,1.1264,1.1339,1.1254,0.29
1.1266,1.1228,1.128,1.1213,0.3
1.1232,1.1219,1.1234,1.1219,-0.02
1.1234,1.1287,1.1312,1.1216,-0.48
1.1288,1.1295,1.1396,1.127,-0.08
1.1297,1.1354,1.1388,1.1286,-0.54
1.1358,1.1312,1.1387,1.13,0.39
1.1314,1.1295,1.1334,1.1272,0.27
1.1283,1.1268,1.132,1.1243,0.13
1.1268,1.1272,1.1296,1.1232,-0.05
1.1274,1.1383,1.1393,1.1264,-0.98
1.1386,1.1406,1.1466,1.1345,-0.19
1.1408,1.1405,1.1448,1.1371,0.06
1.1401,1.1376,1.1421,1.1347,0.21
1.1377,1.1396,1.1455,1.1335,-0.19
1.1399,1.1382,1.1434,1.1325,0.13
1.1384,1.1387,1.1406,1.1334,-0.07
1.1392,1.1391,1.1414,1.1355,0.04
1.1387,1.1378,1.1439,1.1332,0.06
1.138,1.1336,1.1413,1.1307,0.37
